recode,variable_name,from_system,from_code,from_label,to_system,to_code,to_label,notes,review_flag,domain
FALSE,race_summary_code,BEDROCK,50,White and Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,WHALES,50,White and Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,99,Unknown,WHALES,99,Unknown,NA,FALSE,demographics
FALSE,race_vietnamese,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_vietnamese,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_vietnamese,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_white,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_white,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_white,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,residence_city_limits,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,geography
FALSE,residence_city_limits,BEDROCK,N,No,WHALES,N,No,NA,FALSE,geography
FALSE,residence_city_limits,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,geography
FALSE,residence_length_type,BEDROCK,0,Years 1 to 99,WHALES,Y,Years,NA,FALSE,geography
TRUE,residence_length_type,BEDROCK,1,Years 100 or more,WHALES,Y,Years,NA,FALSE,geography
