start_year,end_year,code,label,city,state,notes,review_flag
1980,2026,1611,Price-Helton Funeral Home,Auburn,WA,,FALSE
1980,2026,1613,Purdy & Kerr with Dawson Funeral Home,Monroe,WA,,FALSE
1980,2026,1614,Purdy & Walters with Cassidy,Everett,WA,,FALSE
1980,2026,1615,Purdy & Walters at Floral Hills,Lynnwood,WA,,FALSE
1980,2026,1616,Professional Funeral Directors & Crematory,Walla Walla,WA,,FALSE
1980,2026,1624,The Co-op Funeral Home of People's Memorial,Seattle,WA,,FALSE
1980,2026,1625,Peninsula Cremation Center,Gig Harbor,WA,,FALSE
1980,2026,1626,Providence Funeral Services,Quincy,WA,,FALSE
1980,2026,1628,PMI Mortuary Service,Seattle,WA,,FALSE
1980,2026,1630,Pike and Sanford Funeral DIrectors,Kenmore,WA,,FALSE
1980,2026,1802,Riplinger Funeral Home,Spokane,WA,,FALSE
1980,2026,1803,Rosebud Funeral Service,Seattle,WA,,FALSE
1980,2026,1805,Rainier Memorial Center,Yakima,WA,,FALSE
1980,2026,1901,Schaefer-Shipman Funeral Home,Marysville,WA,,FALSE
1980,2026,1903,Schanzenbach Funeral Home,Fairfield,WA,,FALSE
1980,2026,1904,Scharbach's Columbia Funeral Chapel,Quincy,WA,,FALSE
1980,2026,1905,Sequim Valley Funeral Chapel,Sequim,WA,,FALSE
1980,2026,1906,Shaw & Sons Funeral Home,Yakima,WA,,FALSE
1980,2026,1907,Sherman-Campbell Funeral and Cremation Services,Newport,WA,,FALSE
1980,2026,1908,Snoqualmie Valley Funeral Chapel,North Bend,WA,,FALSE
1980,2026,1909,"Solie Funeral Home, LLC",Everett,WA,,FALSE
1980,2026,1911,Steele Chapel at Longview Memorial Park,Longview,WA,,FALSE
1980,2026,1912,Sticklin Funeral Chapel,Centralia,WA,,FALSE
1980,2026,1914,Stoller's Mortuary Inc,Raymond,WA,,FALSE
1980,2026,1915,Strate Funeral Home - Grant,Grand Coulee,WA,,FALSE
1980,2026,1916,Strate Funeral Home - Lincoln,Davenport,WA,,FALSE
1980,2026,1917,Straub's Funeral Home & Columbia River Cremation,Camas,WA,,FALSE
1980,2026,1919,Sunset Hills Funeral Home,Bellevue,WA,,FALSE
1980,2026,1920,Smith Funeral Home LTD,Sunnyside,WA,,FALSE
1980,2026,1922,Seattle Jewish Chapel,Seattle,WA,,FALSE
1980,2026,1923,Schanzenbach Funeral Home (Rosalia),Rosalia,WA,,FALSE
1980,2026,1924,"Skagit Cremation Services, LLC",Anacortes,WA,,FALSE
1980,2026,1925,Spokane Cremation & Funeral Service,Spokane,WA,,FALSE
1980,2026,1937,Smart Cremation,Puyallup,WA,,FALSE
1980,2026,1939,Serenity Funeral Home and Cremation,Renton,WA,,FALSE
