code,label,city,notes,review_flag
468,Evergreen Memorial Park Crematory,East Wenatchee,,
469,Cherry Grove Crematory,Poulsbo,,
470,University Of Washington Crematory,Seattle,,
471,Longview Memorial Park Crematory,Longview,,
472,Heritage Crematory,Spanaway,,
473,Seattle Service Group Crematory,Seattle,,
474,Community Cremation Service,Spokane,,
475,Pacific Nw Crematory,Spokane,,
476,Tacoma Mausoleum,Tacoma,,
476,Tacoma Mausoleum And Mortuary,Tacoma,,
477,Bogc Cremation Services,Kennewick,,
478,Terrace Heights Crematory,Yakima,,
479,Jones & Jones Funeral Home,Wenatchee,,
480,St. John'S Cathedral Columbarium,Spokane,,
481,Black Hills Crematory,Olympia,,
482,Aberdeen Crematory,Aberdeen,,
483,Okanogan County Crematory,Okanogan,,
484,Columbia Basin Crematory,Moses Lake,,
486,Northwest Crematory,Anacortes,,
487,Prosser Funeral Home Crematory,Prosser,,
488,Cady Cremation Services,Kent,,
489,Neptune Society Cremation Service,Kent,,
490,Washington State University,Pullman,,
491,American Memorial Association #69,Renton,,
492,C R Services,Wenatchee,,
492,C And R Services,Wenatchee,,
492,C.R. Service,Wenatchee,,
492,C.R. Service,Wenatchee,,
493,Woodlawn Crematory,Lacey,,
494,Valley Hills Crematory,Yakima,,
495,Wheatland Crematory,Cheney,,
497,Curnow Cremation Services,Sumner,,
497,Sumner Crematory,Sumner,,
498,Smart Cremation Company,Spokane,,
499,Wheatland Crematory,Pullman,,
500,Mt Baker Cremation Society,Bellingham,,
501,American Cremation And Casket Alliance,Marysville,,
501,First Cremation Services Marysville,Marysville,,
501,First Cremation Service Marysville,Marysville,,
501,Heritage Crematory,Marysville,,
502,Smith Funeral Homes And Crematory,Sunnyside,,
503,Smith Funeral Homes And Crematory,Grandview,,
504,Yates Crematory,Coeur D'Alene,,
505,Adams County Crematory,Ritzville,,
506,Evergreen Memorial Gardens Crematory,Vancouver,,
507,Tahoma National Cemetery And Cremation,Kent,,
509,Edwards Crematory Llc,Lakewood,,
510,South Sound Crematory,Lacey,,
511,Cashmere City Cemetery,Cashmere,,
513,Alpha Cemetery,Onalaska,,
514,Anderson Cemetery,Stanwood,,
515,Bikur Cholim Cemetery,Seattle,,
516,Bridgeport Cemetery,Bridgeport,,
517,Burlington Cemetery,Burlington,,
518,1910 Shaker Church Cemetery,White Swan,,
519,Bunker Hill Cemetery,Longview,,
520,Zion Lutheran Cemetery,Silvana,,
520,The Little White Church,Silvana,,
521,Wynoochee Cemetery,Montesano,,
522,Whittle Hubbard Cemetery,Castle Rock,,
523,Old White Lake Cemetery,Auburn,,
523,White Lake Cemetery,Auburn,,
524,Union Gap Cemetery,Union Gap,,
525,Toledo Cemetery,Toledo,,
526,Washougal Memorial Cemetery,Washougal,,
527,Maple Leaf Cemetery,Oak Harbor,,
528,Hydrolysis A Center,Olympia,,
528,Lower Columbia Crematory,Vancouver,,
529,Island Crematory,Oak Harbor,,
530,Dunn Cemetery,Mossyrock,,
531,Elim Cemetery,Brush Prairie,,
532,Enterprise Cemetery,Ferndale,,
533,Fall City Cemetery,Fall City,,
534,Entiat Cemetery,Entiat,,
535,Grand View Cemetery,Anacortes,,
536,Fern Hill Cemetery,Anacortes,,
537,Fern Prairie Cemetery,Camas,,
538,Fircrest Cemetery,Oak Harbor,,
538,Nor A Center,Olympia,,
539,Mission Beach Cemetery,Tulalip,,
540,Silver Creek Cemetery,Randle,,
541,Silver Lake Cemetery,Silver Lake,,
542,Professional Funeral Directors Crematory,Walla Walla,,
542,Professional Crematory,Walla Walla,,
543,Hillside Cemetery,Issaquah,,
544,Hills Of Eternity Cemetery,Seattle,,
545,Endicott Cemetery,Endicott,,
546,Frank Abel Cemetery,Woodland,,
547,Freeborn Lutheran Cemetery,Stanwood,,
548,Mountain View Ellisforde Cemetery,Ellisforde,,
548,Ellisforde Cemetery,Ellisforde,,
549,Greenwood Cemetery,Palouse,,
550,Greenwood Cemetery,Lynden,,
551,Hamilton Cemetery,Hamilton,,
552,Pacific Crematory,Long Beach,,
553,Peshastin Cemetery,Peshastin,,
554,City Cemetery,Poulsbo,,
554,Poulsbo City Cemetery,Poulsbo,,
555,Brush Prairie Cemetery,Brush Prairie,,
555,Brush Prairie Cemetery,Vancouver,,
